Level_ID,description
1,PROPOSER 1
2,PROPOSER 2
3,PROPOSER 3
4,PROPOSER 4
5,PROPOSER 5
6,RECOMMENDER 1
7,RECOMMENDER 2
8,RECOMMENDER 3
9,RECOMMENDER 4
10,RECOMMENDER 5
11,APPROVER 1
12,APPROVER 2
13,APPROVER 3
14,APPROVER 4
15,APPROVER 5
